# table 1: InteractionTrees, per tree, per state
state,files,spec,proof,comments,spec+proof,tactic_defs,paco_tokens,monotonicity_tokens
theories/A-paco(itrees-old),68,4773,7319,1677,12092,77,181,48
theories/A'-paco(68b3568),68,4773,7319,1677,12092,77,181,48
theories/B-oldcoind(d34881b),65,4849,7076,1811,11925,141,0,59
theories/C-newcoind(worktree),65,4725,7060,1796,11785,105,0,59
extra/A-paco(itrees-old),28,2296,6470,621,8766,35,227,51
extra/A'-paco(68b3568),28,2296,6470,622,8766,35,227,51
extra/B-oldcoind(d34881b),28,2553,5959,890,8512,82,1,49
extra/C-newcoind(worktree),28,2553,5949,889,8502,82,1,49

# table 2: the coinduction library
state,files,spec,proof,comments,spec+proof,tactic_defs,paco_tokens,monotonicity_tokens
D-pous(3dd5df7),7,912,575,361,1487,15,0,0
D'-pous(upstream tree),7,912,575,361,1487,15,0,0
E-rewritten(worktree),7,1148,690,474,1838,46,0,11
D-pous(3dd5df7) no tests,6,880,523,350,1403,15,0,0
E-rewritten(worktree) no tests,6,992,510,433,1502,45,0,9

# table 3: the OCaml reification plugin, deleted by the rewrite
file,lines
src/plugin.mlpack,2
src/reification.ml,280
src/reification.mli,5
src/reification_g.mlg,20
src/reification_g.mli,0
TOTAL,307

# table 4: raw line counts, for comparison with rocq wc
state,wc_l_theories,wc_l_extra
A-paco,16541,10540
B-oldcoind,16533,10577
C-newcoind,16342,10566

# table 5: tactic definitions per file, the ten that moved most (B -> C)
file,B,C,delta
Basics/Utils.v,33,17,-16
Eq/Rutt.v,17,7,-10
Eq/Eqit.v,61,53,-8
Core/KTreeFacts.v,3,1,-2

# table 6: whole-system spec+proof, library excluding tests, Rocq only and with the OCaml plugin
state,itrees_theories,itrees_extra,coind_library,rocq_total,ocaml_plugin,grand_total
B-oldcoind,11925,8512,1403,21840,307,22147
C-newcoind,11785,8502,1502,21789,0,21789

# table 7: deltas, spec+proof by rocq wc, and including comments
measure,A-paco,B-oldcoind,C-newcoind,A->B,B->C,A->C
theories spec,4773,4849,4725,76,-124,-48
theories proof,7319,7076,7060,-243,-16,-259
theories spec+proof,12092,11925,11785,-167,-140,-307
extra spec,2296,2553,2553,257,0,257
extra proof,6470,5959,5949,-511,-10,-521
extra spec+proof,8766,8512,8502,-254,-10,-264
both proof,13789,13035,13009,-754,-26,-780
both spec,7069,7402,7278,333,-124,209
both spec+proof,20858,20437,20287,-421,-150,-571
both incl comments,23156,23138,22972,-18,-166,-184
tactic defs theories,77,141,105,64,-36,28
tactic defs extra,35,82,82,47,0,47
