checkpoint,tree,file,line,kind,definition,tactic,lines,chars
paco,theories,theories/Eq/Eqit.v,220,Ltac,unfold_eqit,unfold_eqit,3,150
paco,theories,theories/Eq/Eqit.v,235,Tactic Notation,fold_eqitF,fold_eqitF,15,392
paco,theories,theories/Eq/Paco2.v,53,Ltac,apply_paco_acc,pcofix,15,488
paco,theories,theories/Eq/Paco2.v,140,Ltac,pcofix_,pcofix,32,1071
paco,theories,theories/Eq/Paco2.v,174,Ltac,pcofix_with,pcofix,6,219
paco,theories,theories/Eq/Paco2.v,181,Tactic Notation,pcofix,pcofix,2,78
paco,theories,theories/Eq/Rutt.v,115,Ltac,unfold_rutt,unfold_rutt,3,150
paco,theories,theories/Eq/Rutt.v,130,Tactic Notation,fold_ruttF,fold_ruttF,15,370
paco,theories,theories/Eq/UpToTaus.v,54,Tactic Notation,gpaco_,gpaco,4,111
paco,theories,theories/Eq/UpToTaus.v,58,Ltac,gpaco,gpaco,1,53
paco,theories,theories/Eq/UpToTaus.v,649,Ltac,apply_paco_acc,pcofix,12,308
paco,theories,theories/Eq/UpToTaus.v,662,Ltac,ecofix,ecofix,1,57
paco,theories,theories/Eq/UpToTaus.v,664,Ltac,einit,einit,1,90
paco,theories,theories/Eq/UpToTaus.v,665,Ltac,efinal,efinal,1,91
paco,theories,theories/Eq/UpToTaus.v,666,Ltac,ebase,ebase,1,87
paco,theories,theories/Eq/UpToTaus.v,667,Ltac,eret,eret,1,85
paco,theories,theories/Eq/UpToTaus.v,668,Ltac,etau,etau,1,85
paco,theories,theories/Eq/UpToTaus.v,669,Ltac,evis,evis,1,85
paco,theories,theories/Eq/UpToTaus.v,670,Ltac,estep,estep,1,37
paco,theories,theories/Eq/UpToTaus.v,671,Ltac,ebind,ebind,1,87
paco,theories,theories/Eq/UpToTaus.v,672,Ltac,edrop,edrop,1,87
paco,extra,extra/ITrace/ITraceBind.v,875,Ltac,fold_eutt,fold_eutt,2,100
paco,extra,extra/Secure/SecureEqHalt.v,16,Ltac,pmonauto_itree,pmonauto_itree,3,106
paco,extra,extra/Secure/SecureEqHalt.v,171,Ltac,gfinal_with,gfinal_with,1,44
paco,extra,extra/Secure/SecureEqHaltProgInsens.v,267,Ltac,gfinal_with,gfinal_with,1,44
paco,extra,extra/Secure/SecureEqWcompat.v,169,Ltac,fold_secure,fold_secure,2,111
old_port,theories,theories/Basics/Utils.v,134,Ltac,step_,step,9,290
old_port,theories,theories/Basics/Utils.v,144,Ltac,step,step,4,148
old_port,theories,theories/Basics/Utils.v,149,Ltac,step_in,step,4,85
old_port,theories,theories/Basics/Utils.v,154,Tactic Notation,step in,step,1,50
old_port,theories,theories/Basics/Utils.v,156,Ltac,unstep,unstep,4,75
old_port,theories,theories/Basics/Utils.v,161,Ltac,unstep_in,unstep,4,87
old_port,theories,theories/Basics/Utils.v,166,Tactic Notation,unstep in,unstep,1,54
